match_id,team1,team2,winner,venue,date,gender,match_type,overs
1284496,Bahrain,Saudi Arabia,Bahrain,"West End Park International Cricket Stadium, Doha",2021-10-28,male,T20,20
1284497,Kuwait,Qatar,Qatar,"West End Park International Cricket Stadium, Doha",2021-10-29,male,T20,20
1286667,Belize,United States of America,United States of America,"Coolidge Cricket Ground, Antigua",2021-11-07,male,T20,20
1286670,Canada,Belize,Canada,"Coolidge Cricket Ground, Antigua",2021-11-08,male,T20,20
1286671,Bahamas,Argentina,Bahamas,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-08,male,T20,20
1286672,Belize,Panama,Belize,"Coolidge Cricket Ground, Antigua",2021-11-08,male,T20,20
1286673,United States of America,Bermuda,United States of America,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-08,male,T20,20
1286674,Canada,United States of America,,"Coolidge Cricket Ground, Antigua",2021-11-10,male,T20,20
1286675,Argentina,Belize,Argentina,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-10,male,T20,20
1286677,Bermuda,Bahamas,Bermuda,"Coolidge Cricket Ground, Antigua",2021-11-10,male,T20,20
1286681,Argentina,United States of America,United States of America,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-11,male,T20,20
1286682,Bahamas,United States of America,United States of America,"Coolidge Cricket Ground, Antigua",2021-11-13,male,T20,20
1286683,Belize,Bermuda,Bermuda,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-13,male,T20,20
1286684,Panama,Bahamas,Panama,"Coolidge Cricket Ground, Antigua",2021-11-13,male,T20,20
1286685,Argentina,Canada,Canada,"Sir Vivian Richards Stadium, North Sound, Antigua",2021-11-13,male,T20,20
1286686,Canada,Panama,Canada,"Coolidge Cricket Ground, Antigua",2021-11-14,male,T20,20
1286968,United Arab Emirates,Malaysia,United Arab Emirates,"ICC Academy, Dubai",2021-11-22,female,T20,20
1286970,Bhutan,Kuwait,Bhutan,"ICC Academy, Dubai",2021-11-22,female,T20,20
1286971,United Arab Emirates,Hong Kong,United Arab Emirates,"ICC Academy, Dubai",2021-11-23,female,T20,20
1286972,Malaysia,Kuwait,Malaysia,"ICC Academy, Dubai",2021-11-23,female,T20,20
1286973,Bhutan,Nepal,Nepal,"ICC Academy Ground No 2, Dubai",2021-11-23,female,T20,20
1286974,Malaysia,Hong Kong,Hong Kong,"ICC Academy Ground No 2, Dubai",2021-11-25,female,T20,20
1286975,Kuwait,Nepal,Nepal,"ICC Academy, Dubai",2021-11-25,female,T20,20
1286976,United Arab Emirates,Bhutan,United Arab Emirates,"ICC Academy Ground No 2, Dubai",2021-11-25,female,T20,20
1286978,Hong Kong,Bhutan,Hong Kong,"ICC Academy, Dubai",2021-11-26,female,T20,20
1286979,Kuwait,United Arab Emirates,United Arab Emirates,"ICC Academy Ground No 2, Dubai",2021-11-26,female,T20,20
1286980,United Arab Emirates,Nepal,United Arab Emirates,"ICC Academy Ground No 2, Dubai",2021-11-28,female,T20,20
1286981,Malaysia,Bhutan,Malaysia,"ICC Academy, Dubai",2021-11-28,female,T20,20
1286982,Hong Kong,Kuwait,Hong Kong,"ICC Academy, Dubai",2021-11-28,female,T20,20
1287773,Pakistan,West Indies,Pakistan,"National Stadium, Karachi",2021-12-13,male,T20,20
1287774,Pakistan,West Indies,Pakistan,"National Stadium, Karachi",2021-12-14,male,T20,20
1287775,West Indies,Pakistan,Pakistan,"National Stadium, Karachi",2021-12-16,male,T20,20
1288316,Pakistan,Australia,Australia,"Gaddafi Stadium, Lahore",2022-04-05,male,T20,20
1289031,New Zealand,India,New Zealand,"John Davies Oval, Queenstown",2022-02-09,female,T20,20
1289042,Nigeria,Tanzania,Tanzania,Gahanga International Cricket Stadium. Rwanda,2021-11-17,male,T20,20
