venue,avg_first_innings_score,matches_played
Sky Stadium,120.25,4
"Sky Stadium, Wellington",165.5,6
"Solvangs Park, Glostrup",97.25,4
Sophia Gardens,135.28571428571428,14
"Sophia Gardens, Cardiff",130.5,10
Southend Club Cricket Stadium,117.7,10
"Southend Club Cricket Stadium, Karachi",98.83333333333333,6
"Sportpark Harga, Schiedam",79.83333333333333,6
Sportpark Het Schootsveld,103.375,24
"Sportpark Het Schootsveld, Deventer",123.5,10
Sportpark Maarschalkerweerd,83.6,20
"Sportpark Maarschalkerweerd, Utrecht",104.55,40
Sportpark Westvliet,136.16666666666666,6
"Sportpark Westvliet, The Hague",138.94444444444446,18
"Sportpark Westvliet, Voorburg",122.45454545454545,22
"St Albans Club, Buenos Aires",82.94545454545455,55
"St George's College Ground, Buenos Aires",76.83333333333333,18
St George's Park,117.0,6
"St George's Park, Gqeberha",118.92857142857143,14
St Georges Quilmes,72.16666666666667,6
St Lawrence Ground,117.0,2
"St Lawrence Ground, Canterbury",138.75,4
Stadium Australia,133.0,10
"Stars Arena Hofstade, Zemst",102.81818181818181,22
"Stubberudmyra Cricket Ground, Oslo",144.16666666666666,6
Subrata Roy Sahara Stadium,149.0,2
SuperSport Park,154.65217391304347,23
"SuperSport Park, Centurion",174.78571428571428,14
"Svanholm Park, Brondby",115.18181818181819,22
Sydney Cricket Ground,141.97727272727272,44
Sydney Parade,134.75,4
Sydney Showground Stadium,120.57142857142857,7
Sylhet International Cricket Stadium,108.37735849056604,53
"Sylhet International Cricket Stadium, Academy Ground",90.61111111111111,18
Sylhet Stadium,116.86206896551724,58
"TCA Oval, Blantyre",128.0,28
Tafawa Balewa Square (TBS) Cricket Oval,85.5,2
"Tafawa Balewa Square Cricket Oval, Lagos",89.02272727272727,44
Takashinga Sports Club,79.0,6
"Takashinga Sports Club, Highfield, Harare",116.6923076923077,26
Terdthai Cricket Ground,86.41666666666667,36
"Terdthai Cricket Ground, Bangkok",99.0635838150289,173
The Cooper Associates County Ground,166.125,8
"The Cooper Associates County Ground, Taunton",137.0,2
The Rose Bowl,144.5,20
"The Rose Bowl, Southampton",158.91666666666666,12
"The Village, Malahide",141.8,20
"The Village, Malahide, Dublin",137.22222222222223,18
The Wanderers Stadium,154.6,10
"The Wanderers Stadium, Johannesburg",173.7,10
"Three Ws Oval, Cave Hill, Barbados",129.5,6
Tikkurila Cricket Ground,103.8409090909091,44
"Titwood, Glasgow",154.08333333333334,12
Tolerance Oval,113.0,18
"Tolerance Oval, Abu Dhabi",101.025,40
Tony Ireland Stadium,96.75,4
Trent Bridge,135.91666666666666,24
"Trent Bridge, Nottingham",181.125,8
Tribhuvan University International Cricket Ground,113.375,8
"Tribhuvan University International Cricket Ground, Kirtipur",135.13793103448276,87
Turf City B Cricket Ground,42.5,2
"UKM-YSD Cricket Oval, Bangi",88.66233766233766,77
Udayana Cricket Ground,96.94972067039106,179
United Cricket Club Ground,98.22222222222223,18
"United Cricket Club Ground, Windhoek",109.4,50
University Oval,210.5,2
"University Oval, Dunedin",134.05882352941177,17
University of Dar-es-Salaam Ground,53.8,15
University of Doha for Science and Technology,134.84615384615384,26
University of Lagos Cricket Oval,96.75,16
VRA Ground,100.92857142857143,28
"VRA Ground, Amstelveen",102.18181818181819,11
Vanuatu Cricket Ground,76.9,20
Vanuatu Cricket Ground (Oval 2),63.875,16
"Vassil Levski National Sports Academy, Sofia",140.43333333333334,30
"Velden Cricket Ground, Latschach",149.38888888888889,18
"Vidarbha Cricket Association Stadium, Jamtha",126.1,20
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",87.5,2
W.A.C.A. Ground,111.4,10
Wanderers,117.5,2
Wanderers Cricket Ground,137.75,4
"Wanderers Cricket Ground, Windhoek",122.18032786885246,61
Wankhede Stadium,171.14285714285714,14
"Wankhede Stadium, Mumbai",134.6,10
"Warner Park, Basseterre",91.8,5
"Warner Park, Basseterre, St Kitts",152.375,16
"Warner Park, St Kitts",98.875,8
West End Park International Cricket Stadium,75.75,8
"West End Park International Cricket Stadium, Doha",125.34313725490196,102
Western Australia Cricket Association Ground,138.25,4
Westpac Stadium,135.83333333333334,36
"White Hill Field, Sandys Parish",113.79166666666667,24
Willowmoore Park,143.5,4
"Willowmoore Park, Benoni",131.47058823529412,34
"Windsor Park, Roseau",128.75,4
"Windsor Park, Roseau, Dominica",142.66666666666666,3
"Woodley Cricket Field, Los Angeles",76.83333333333333,24
YMCA Cricket Club,109.52941176470588,17
"YSD-UKM Cricket Oval, Bangi",87.23913043478261,46
Yeonhui Cricket Ground,75.4,10
"Yeonhui Cricket Ground, Incheon",90.83333333333333,36
Zahur Ahmed Chowdhury Stadium,127.65625,32
"Zahur Ahmed Chowdhury Stadium, Chattogram",125.5,20
"Zayed Cricket Stadium, Abu Dhabi",120.0625,64
Zhejiang University of Technology Cricket Field,77.55,40
